File title$Item title & copyright
liv_000916_copyright_information.txt$Livingstone, David, 1813-1873. Moteverde, Emilio Achilles, 1803-1881. Letter to The Earl of Clarendon, 26 August 1856.   
liv_001552_copyright_information.txt$Livingstone, David, 1813-1873. Letter to George Grey, 25 March 1860. Images copyright Sir George Grey Special Collections, Auckland Libraries, NZ, 2014. Creative Commons Attribution-NonCommercial 3.0 Unported (https://creativecommons.org/licenses/by-nc/3.0/).  
liv_001557_copyright_information.txt$Livingstone, David, 1813-1873. Letter to George Grey, 6 April 1860. Images copyright Sir George Grey Special Collections, Auckland Libraries, NZ, 2014. Creative Commons Attribution-NonCommercial 3.0 Unported (https://creativecommons.org/licenses/by-nc/3.0/).  
liv_001647_copyright_information.txt$Livingstone, David, 1813-1873. Letter to George Grey, 4, [8 or 9] April 1861. Images copyright Sir George Grey Special Collections, Auckland Libraries, NZ, 2014. Creative Commons Attribution-NonCommercial 3.0 Unported (https://creativecommons.org/licenses/by-nc/3.0/).  
liv_001692_copyright_information.txt$Livingstone, David, 1813-1873. Letter to George Grey, 15 November 1861. Images copyright Sir George Grey Special Collections, Auckland Libraries, NZ, 2014. Creative Commons Attribution-NonCommercial 3.0 Unported (https://creativecommons.org/licenses/by-nc/3.0/).  
liv_001895_copyright_information.txt$Livingstone, David, 1813-1873. Letter to George Grey, February 1863. Images copyright Sir George Grey Special Collections, Auckland Libraries, NZ, 2014. Creative Commons Attribution-NonCommercial 3.0 Unported (https://creativecommons.org/licenses/by-nc/3.0/).  
liv_000652_copyright_information.txt$Livingstone, David, 1813-1873. Letter to William C. Oswell, 10 April 1848. Images copyright Sir George Grey Special Collections, Auckland Libraries, NZ, 2014. Creative Commons Attribution-NonCommercial 3.0 Unported (https://creativecommons.org/licenses/by-nc/3.0/).  
liv_001169_copyright_information.txt$Livingstone, David, 1813-1873. Letter to [John Kirk 2], 4 January 1858.   
liv_001014_copyright_information.txt$Livingstone, David, 1813-1873. Letter to The Earl of Clarendon, 2 May 1857.   
liv_000969_copyright_information.txt$Livingstone, David, 1813-1873. Letter to The Earl of Clarendon, 19 March 1857.   
liv_000952_copyright_information.txt$Livingstone, David, 1813-1873. Letter to The Earl of Clarendon via Roderick I. Murchison, 26 January 1857.   
liv_002979_copyright_information.txt$Livingstone, David, 1813-1873. Envelope to W.W. Cazabet, Date Unknown (No Later than 1873).   
liv_001333_copyright_information.txt$Livingstone, David, 1813-1873. Letter to Samuel Wilberforce, 22 June 1858.   
liv_001880_copyright_information.txt$Livingstone, David, 1813-1873. Letter to Samuel Wilberforce, 12 February 1863.   
liv_001992_copyright_information.txt$Livingstone, David, 1813-1873. Letter to Samuel Wilberforce, 31 December 1863.   
liv_002035_copyright_information.txt$Livingstone, David, 1813-1873. Letter to Samuel Wilberforce, 2 August 1864.   
liv_002039_copyright_information.txt$Livingstone, David, 1813-1873. Letter to Samuel Wilberforce, 5 August [1864].   
liv_002105_copyright_information.txt$Livingstone, David, 1813-1873. Letter to Samuel Wilberforce, 5 November 1864.   
liv_002227_copyright_information.txt$Livingstone, David, 1813-1873. Letter to Samuel Wilberforce, 18 March 1865.   
liv_001139_copyright_information.txt$Livingstone, David, 1813-1873. Letter to Samuel Wilberforce, 23 November 1857.   
liv_000549_copyright_information.txt$Livingstone, David, 1813-1873. Letter to [Elizabeth?] Pyne, 5 October 1843. Images copyright The Bodleian Library, University of Oxford. Used by permission. As relevant, copyright Dr. Neil Imray Livingstone Wilson. Creative Commons Attribution-NonCommercial 3.0 Unported (https://creativecommons.org/licenses/by-nc/3.0/). 
liv_000501_copyright_information.txt$Livingstone, David, 1813-1873. Letter to Benjamin T. Pyne, 22 December 1841. Images copyright The Bodleian Library, University of Oxford. Used by permission. As relevant, copyright Dr. Neil Imray Livingstone Wilson. Creative Commons Attribution-NonCommercial 3.0 Unported (https://creativecommons.org/licenses/by-nc/3.0/). 
liv_000529_copyright_information.txt$Livingstone, David, 1813-1873. Letter to [Elizabeth?] Pyne, 22 June 1843. Images copyright The Bodleian Library, University of Oxford. Used by permission. As relevant, copyright Dr. Neil Imray Livingstone Wilson. Creative Commons Attribution-NonCommercial 3.0 Unported (https://creativecommons.org/licenses/by-nc/3.0/). 
liv_003093_copyright_information.txt$Livingstone, David, 1813-1873. One of the creators is unidentified. Native Vocabulary, [1862]. Images copyright The Bodleian Library, University of Oxford. Used by permission. As relevant, copyright Dr. Neil Imray Livingstone Wilson. Creative Commons Attribution-NonCommercial 3.0 Unported (https://creativecommons.org/licenses/by-nc/3.0/). 
liv_003072_copyright_information.txt$Livingstone, David, 1813-1873. Livingstone, Mary, 1821-1862. Letter to [Henry] Labouchere, 2 April 1857. Images copyright The Bodleian Library, University of Oxford. Used by permission. As relevant, copyright Dr. Neil Imray Livingstone Wilson. Creative Commons Attribution-NonCommercial 3.0 Unported (https://creativecommons.org/licenses/by-nc/3.0/). 
liv_003092_copyright_information.txt$Livingstone, David, 1813-1873. Letter to Robert Gray, [1862?]. Images copyright The Bodleian Library, University of Oxford. Used by permission. As relevant, copyright Dr. Neil Imray Livingstone Wilson. Creative Commons Attribution-NonCommercial 3.0 Unported (https://creativecommons.org/licenses/by-nc/3.0/). 
liv_002011_copyright_information.txt$Livingstone, David, 1813-1873. Letter to Robert Gray, 30 March 1864. Images copyright The Bodleian Library, University of Oxford. Used by permission. As relevant, copyright Dr. Neil Imray Livingstone Wilson. Creative Commons Attribution-NonCommercial 3.0 Unported (https://creativecommons.org/licenses/by-nc/3.0/). 
liv_002117_copyright_information.txt$Livingstone, David, 1813-1873. Letter to Richard Owen, 22 November 1864. Images copyright The Bodleian Library, University of Oxford. Used by permission. As relevant, copyright Dr. Neil Imray Livingstone Wilson. Creative Commons Attribution-NonCommercial 3.0 Unported (https://creativecommons.org/licenses/by-nc/3.0/). 
liv_002332_copyright_information.txt$Livingstone, David, 1813-1873. Letter to John W. Festing, 8 June 1865. Images copyright The Bodleian Library, University of Oxford. Used by permission. As relevant, copyright Dr. Neil Imray Livingstone Wilson. Creative Commons Attribution-NonCommercial 3.0 Unported (https://creativecommons.org/licenses/by-nc/3.0/). 
liv_001197_copyright_information.txt$Livingstone, David, 1813-1873. Letter to David L. Ratcliffe, 28 January 1858. Images copyright The Bodleian Library, University of Oxford. Used by permission. As relevant, copyright Dr. Neil Imray Livingstone Wilson. Creative Commons Attribution-NonCommercial 3.0 Unported (https://creativecommons.org/licenses/by-nc/3.0/). 
liv_001199_copyright_information.txt$Livingstone, David, 1813-1873. Letter to Mrs. [?] Ratcliffe, 1 February 1858. Images copyright The Bodleian Library, University of Oxford. Used by permission. As relevant, copyright Dr. Neil Imray Livingstone Wilson. Creative Commons Attribution-NonCommercial 3.0 Unported (https://creativecommons.org/licenses/by-nc/3.0/). 
liv_003073_copyright_information.txt$Livingstone, David, 1813-1873. One of the creators is unidentified. Letter to [Robert Gray], 21 March 1860. Images copyright The Bodleian Library, University of Oxford. Used by permission. As relevant, copyright Dr. Neil Imray Livingstone Wilson. Creative Commons Attribution-NonCommercial 3.0 Unported (https://creativecommons.org/licenses/by-nc/3.0/). 
liv_003076_copyright_information.txt$Livingstone, David, 1813-1873. One of the creators is unidentified. Letter to George Grey, 25 March 1860. Images copyright The Bodleian Library, University of Oxford. Used by permission. As relevant, copyright Dr. Neil Imray Livingstone Wilson. Creative Commons Attribution-NonCommercial 3.0 Unported (https://creativecommons.org/licenses/by-nc/3.0/). 
liv_003079_copyright_information.txt$Livingstone, David, 1813-1873. One of the creators is unidentified. Letter to Robert Gray, 26 March 1860. Images copyright The Bodleian Library, University of Oxford. Used by permission. As relevant, copyright Dr. Neil Imray Livingstone Wilson. Creative Commons Attribution-NonCommercial 3.0 Unported (https://creativecommons.org/licenses/by-nc/3.0/). 
liv_003082_copyright_information.txt$Livingstone, David, 1813-1873. One of the creators is unidentified. Letter to George Grey, 6 April 1860. Images copyright The Bodleian Library, University of Oxford. Used by permission. As relevant, copyright Dr. Neil Imray Livingstone Wilson. Creative Commons Attribution-NonCommercial 3.0 Unported (https://creativecommons.org/licenses/by-nc/3.0/). 
liv_003085_copyright_information.txt$Livingstone, David, 1813-1873. One of the creators is unidentified. Letter to Robert Gray, 8 April 1860. Images copyright The Bodleian Library, University of Oxford. Used by permission. As relevant, copyright Dr. Neil Imray Livingstone Wilson. Creative Commons Attribution-NonCommercial 3.0 Unported (https://creativecommons.org/licenses/by-nc/3.0/). 
liv_003074_copyright_information.txt$Livingstone, David, 1813-1873. One of the creators is unidentified. Letter to [Robert Gray], 21 March 1860. Images copyright The Bodleian Library, University of Oxford. Used by permission. As relevant, copyright Dr. Neil Imray Livingstone Wilson. Creative Commons Attribution-NonCommercial 3.0 Unported (https://creativecommons.org/licenses/by-nc/3.0/). 
liv_003083_copyright_information.txt$Livingstone, David, 1813-1873. One of the creators is unidentified. Letter to George Grey, 6 April 1860. Images copyright The Bodleian Library, University of Oxford. Used by permission. As relevant, copyright Dr. Neil Imray Livingstone Wilson. Creative Commons Attribution-NonCommercial 3.0 Unported (https://creativecommons.org/licenses/by-nc/3.0/). 
liv_003080_copyright_information.txt$Livingstone, David, 1813-1873. One of the creators is unidentified. Letter to Robert Gray, 26 March 1860. Images copyright The Bodleian Library, University of Oxford. Used by permission. As relevant, copyright Dr. Neil Imray Livingstone Wilson. Creative Commons Attribution-NonCommercial 3.0 Unported (https://creativecommons.org/licenses/by-nc/3.0/). 
liv_003086_copyright_information.txt$Livingstone, David, 1813-1873. One of the creators is unidentified. Letter to Robert Gray, 8 April 1860. Images copyright The Bodleian Library, University of Oxford. Used by permission. As relevant, copyright Dr. Neil Imray Livingstone Wilson. Creative Commons Attribution-NonCommercial 3.0 Unported (https://creativecommons.org/licenses/by-nc/3.0/). 
liv_003077_copyright_information.txt$Livingstone, David, 1813-1873. One of the creators is unidentified. Letter to George Grey, 25 March 1860. Images copyright The Bodleian Library, University of Oxford. Used by permission. As relevant, copyright Dr. Neil Imray Livingstone Wilson. Creative Commons Attribution-NonCommercial 3.0 Unported (https://creativecommons.org/licenses/by-nc/3.0/). 
liv_003078_copyright_information.txt$Livingstone, David, 1813-1873. One of the creators is unidentified. Letter to George Grey, 25 March 1860. Images copyright The Bodleian Library, University of Oxford. Used by permission. As relevant, copyright Dr. Neil Imray Livingstone Wilson. Creative Commons Attribution-NonCommercial 3.0 Unported (https://creativecommons.org/licenses/by-nc/3.0/). 
liv_003091_copyright_information.txt$Livingstone, David, 1813-1873. One of the creators is unidentified. Letter to Robert Gray, 30 March 1864. Images copyright The Bodleian Library, University of Oxford. Used by permission. As relevant, copyright Dr. Neil Imray Livingstone Wilson. Creative Commons Attribution-NonCommercial 3.0 Unported (https://creativecommons.org/licenses/by-nc/3.0/). 
liv_003075_copyright_information.txt$Livingstone, David, 1813-1873. One of the creators is unidentified. Letter to [Robert Gray], 21 March 1860. Images copyright The Bodleian Library, University of Oxford. Used by permission. As relevant, copyright Dr. Neil Imray Livingstone Wilson. Creative Commons Attribution-NonCommercial 3.0 Unported (https://creativecommons.org/licenses/by-nc/3.0/). 
liv_003084_copyright_information.txt$Livingstone, David, 1813-1873. One of the creators is unidentified. Letter to George Grey, 6 April 1860. Images copyright The Bodleian Library, University of Oxford. Used by permission. As relevant, copyright Dr. Neil Imray Livingstone Wilson. Creative Commons Attribution-NonCommercial 3.0 Unported (https://creativecommons.org/licenses/by-nc/3.0/). 
liv_003081_copyright_information.txt$Livingstone, David, 1813-1873. One of the creators is unidentified. Letter to Robert Gray, 26 March 1860. Images copyright The Bodleian Library, University of Oxford. Used by permission. As relevant, copyright Dr. Neil Imray Livingstone Wilson. Creative Commons Attribution-NonCommercial 3.0 Unported (https://creativecommons.org/licenses/by-nc/3.0/). 
liv_003087_copyright_information.txt$Livingstone, David, 1813-1873. One of the creators is unidentified. Letter to Robert Gray, 8 April 1860. Images copyright The Bodleian Library, University of Oxford. Used by permission. As relevant, copyright Dr. Neil Imray Livingstone Wilson. Creative Commons Attribution-NonCommercial 3.0 Unported (https://creativecommons.org/licenses/by-nc/3.0/). 
liv_003090_copyright_information.txt$Livingstone, David, 1813-1873. Letter to John S. Moffat, 14 February 1863. Images copyright The Bodleian Library, University of Oxford. Used by permission. As relevant, copyright Dr. Neil Imray Livingstone Wilson. Creative Commons Attribution-NonCommercial 3.0 Unported (https://creativecommons.org/licenses/by-nc/3.0/). 
liv_001602_copyright_information.txt$Livingstone, David, 1813-1873. Letter to the Hononorable Secretaries of the Oxford and Cambridge Mission, 29 November 1860, 14, 22 January 1861. Images copyright The Bodleian Library, University of Oxford. Used by permission. As relevant, copyright Dr. Neil Imray Livingstone Wilson. Creative Commons Attribution-NonCommercial 3.0 Unported (https://creativecommons.org/licenses/by-nc/3.0/). 
liv_003088_copyright_information.txt$Livingstone, David, 1813-1873. One of the creators is unidentified. Letter to George Grey, 4, [8 or 9] April 1861. Images copyright The Bodleian Library, University of Oxford. Used by permission. As relevant, copyright Dr. Neil Imray Livingstone Wilson. Creative Commons Attribution-NonCommercial 3.0 Unported (https://creativecommons.org/licenses/by-nc/3.0/). 
liv_002001_copyright_information.txt$Livingstone, David, 1813-1873. Letter to Robert Gray, 27 February 1864. Images copyright The Bodleian Library, University of Oxford. Used by permission. As relevant, copyright Dr. Neil Imray Livingstone Wilson. Creative Commons Attribution-NonCommercial 3.0 Unported (https://creativecommons.org/licenses/by-nc/3.0/). 
liv_001759_copyright_information.txt$Livingstone, David, 1813-1873. Letter to Sidney Strong, 25 March 1862. Images copyright The Bodleian Library, University of Oxford. Used by permission. As relevant, copyright Dr. Neil Imray Livingstone Wilson. Creative Commons Attribution-NonCommercial 3.0 Unported (https://creativecommons.org/licenses/by-nc/3.0/). 
liv_002433_copyright_information.txt$Livingstone, David, 1813-1873. Letter to Horace Waller, 15 November 1865. Images copyright The Bodleian Library, University of Oxford. Used by permission. As relevant, copyright Dr. Neil Imray Livingstone Wilson. Creative Commons Attribution-NonCommercial 3.0 Unported (https://creativecommons.org/licenses/by-nc/3.0/). 
liv_001796_copyright_information.txt$Livingstone, David, 1813-1873. Letter to Horace Waller, 7 July 1862. Images copyright The Bodleian Library, University of Oxford. Used by permission. As relevant, copyright Dr. Neil Imray Livingstone Wilson. Creative Commons Attribution-NonCommercial 3.0 Unported (https://creativecommons.org/licenses/by-nc/3.0/). 
liv_002145_copyright_information.txt$Livingstone, David, 1813-1873. Letter to John Kirk 2, [24, 25 December 1864]. Images copyright The Bodleian Library, University of Oxford. Used by permission. As relevant, copyright Dr. Neil Imray Livingstone Wilson. Creative Commons Attribution-NonCommercial 3.0 Unported (https://creativecommons.org/licenses/by-nc/3.0/). 
liv_002146_copyright_information.txt$Livingstone, David, 1813-1873. Letter to Horace Waller, 28 December 1864. Images copyright The Bodleian Library, University of Oxford. Used by permission. As relevant, copyright Dr. Neil Imray Livingstone Wilson. Creative Commons Attribution-NonCommercial 3.0 Unported (https://creativecommons.org/licenses/by-nc/3.0/). 
liv_002151_copyright_information.txt$Livingstone, David, 1813-1873. Letter to Horace Waller, 4 January 1865. Images copyright The Bodleian Library, University of Oxford. Used by permission. As relevant, copyright Dr. Neil Imray Livingstone Wilson. Creative Commons Attribution-NonCommercial 3.0 Unported (https://creativecommons.org/licenses/by-nc/3.0/). 
liv_002157_copyright_information.txt$Livingstone, David, 1813-1873. Letter to Horace Waller, 8 January 1865. Images copyright The Bodleian Library, University of Oxford. Used by permission. As relevant, copyright Dr. Neil Imray Livingstone Wilson. Creative Commons Attribution-NonCommercial 3.0 Unported (https://creativecommons.org/licenses/by-nc/3.0/). 
liv_002159_copyright_information.txt$Livingstone, David, 1813-1873. Letter to Horace Waller, 12 January 1865. Images copyright The Bodleian Library, University of Oxford. Used by permission. As relevant, copyright Dr. Neil Imray Livingstone Wilson. Creative Commons Attribution-NonCommercial 3.0 Unported (https://creativecommons.org/licenses/by-nc/3.0/). 
liv_002168_copyright_information.txt$Livingstone, David, 1813-1873. Letter to Horace Waller, 24 January 1865. Images copyright The Bodleian Library, University of Oxford. Used by permission. As relevant, copyright Dr. Neil Imray Livingstone Wilson. Creative Commons Attribution-NonCommercial 3.0 Unported (https://creativecommons.org/licenses/by-nc/3.0/). 
liv_001897_copyright_information.txt$Livingstone, David, 1813-1873. Letter to Horace Waller, 26 March 1863. Images copyright The Bodleian Library, University of Oxford. Used by permission. As relevant, copyright Dr. Neil Imray Livingstone Wilson. Creative Commons Attribution-NonCommercial 3.0 Unported (https://creativecommons.org/licenses/by-nc/3.0/). 
liv_002171_copyright_information.txt$Livingstone, David, 1813-1873. Letter to Horace Waller, 25 January 1865. Images copyright The Bodleian Library, University of Oxford. Used by permission. As relevant, copyright Dr. Neil Imray Livingstone Wilson. Creative Commons Attribution-NonCommercial 3.0 Unported (https://creativecommons.org/licenses/by-nc/3.0/). 
liv_002177_copyright_information.txt$Livingstone, David, 1813-1873. Letter to Horace Waller, 3 February 1865. Images copyright The Bodleian Library, University of Oxford. Used by permission. As relevant, copyright Dr. Neil Imray Livingstone Wilson. Creative Commons Attribution-NonCommercial 3.0 Unported (https://creativecommons.org/licenses/by-nc/3.0/). 
liv_002180_copyright_information.txt$Livingstone, David, 1813-1873. Letter to Horace Waller, 7 February 1865. Images copyright The Bodleian Library, University of Oxford. Used by permission. As relevant, copyright Dr. Neil Imray Livingstone Wilson. Creative Commons Attribution-NonCommercial 3.0 Unported (https://creativecommons.org/licenses/by-nc/3.0/). 
liv_002187_copyright_information.txt$Livingstone, David, 1813-1873. Letter to Horace Waller, 9 February 1865. Images copyright The Bodleian Library, University of Oxford. Used by permission. As relevant, copyright Dr. Neil Imray Livingstone Wilson. Creative Commons Attribution-NonCommercial 3.0 Unported (https://creativecommons.org/licenses/by-nc/3.0/). 
liv_002205_copyright_information.txt$Livingstone, David, 1813-1873. Letter to Horace Waller, 24 February 1865. Images copyright The Bodleian Library, University of Oxford. Used by permission. As relevant, copyright Dr. Neil Imray Livingstone Wilson. Creative Commons Attribution-NonCommercial 3.0 Unported (https://creativecommons.org/licenses/by-nc/3.0/). 
liv_002220_copyright_information.txt$Livingstone, David, 1813-1873. Letter to Horace Waller, 8 March 1865. Images copyright The Bodleian Library, University of Oxford. Used by permission. As relevant, copyright Dr. Neil Imray Livingstone Wilson. Creative Commons Attribution-NonCommercial 3.0 Unported (https://creativecommons.org/licenses/by-nc/3.0/). 
liv_002255_copyright_information.txt$Livingstone, David, 1813-1873. Letter to Horace Waller, 6 April 1865. Images copyright The Bodleian Library, University of Oxford. Used by permission. As relevant, copyright Dr. Neil Imray Livingstone Wilson. Creative Commons Attribution-NonCommercial 3.0 Unported (https://creativecommons.org/licenses/by-nc/3.0/). 
liv_002271_copyright_information.txt$Livingstone, David, 1813-1873. Letter to Horace Waller, 23 April 1865. Images copyright The Bodleian Library, University of Oxford. Used by permission. As relevant, copyright Dr. Neil Imray Livingstone Wilson. Creative Commons Attribution-NonCommercial 3.0 Unported (https://creativecommons.org/licenses/by-nc/3.0/). 
liv_002283_copyright_information.txt$Livingstone, David, 1813-1873. Letter to Horace Waller, 2 May 1865. Images copyright The Bodleian Library, University of Oxford. Used by permission. As relevant, copyright Dr. Neil Imray Livingstone Wilson. Creative Commons Attribution-NonCommercial 3.0 Unported (https://creativecommons.org/licenses/by-nc/3.0/). 
liv_002296_copyright_information.txt$Livingstone, David, 1813-1873. Letter to Horace Waller, 11 May 1865. Images copyright The Bodleian Library, University of Oxford. Used by permission. As relevant, copyright Dr. Neil Imray Livingstone Wilson. Creative Commons Attribution-NonCommercial 3.0 Unported (https://creativecommons.org/licenses/by-nc/3.0/). 
liv_001900_copyright_information.txt$Livingstone, David, 1813-1873. Letter to Horace Waller, 21 April 1863. Images copyright The Bodleian Library, University of Oxford. Used by permission. As relevant, copyright Dr. Neil Imray Livingstone Wilson. Creative Commons Attribution-NonCommercial 3.0 Unported (https://creativecommons.org/licenses/by-nc/3.0/). 
liv_002322_copyright_information.txt$Livingstone, David, 1813-1873. Letter to Horace Waller, 1 June 1865. Images copyright The Bodleian Library, University of Oxford. Used by permission. As relevant, copyright Dr. Neil Imray Livingstone Wilson. Creative Commons Attribution-NonCommercial 3.0 Unported (https://creativecommons.org/licenses/by-nc/3.0/). 
liv_002328_copyright_information.txt$Livingstone, David, 1813-1873. Letter to Horace Waller, 5 June 1865. Images copyright The Bodleian Library, University of Oxford. Used by permission. As relevant, copyright Dr. Neil Imray Livingstone Wilson. Creative Commons Attribution-NonCommercial 3.0 Unported (https://creativecommons.org/licenses/by-nc/3.0/). 
liv_002336_copyright_information.txt$Livingstone, David, 1813-1873. Letter to Horace Waller, 9 June 1865. Images copyright The Bodleian Library, University of Oxford. Used by permission. As relevant, copyright Dr. Neil Imray Livingstone Wilson. Creative Commons Attribution-NonCommercial 3.0 Unported (https://creativecommons.org/licenses/by-nc/3.0/). 
liv_002346_copyright_information.txt$Livingstone, David, 1813-1873. Letter to Horace Waller, 21 June 1865. Images copyright The Bodleian Library, University of Oxford. Used by permission. As relevant, copyright Dr. Neil Imray Livingstone Wilson. Creative Commons Attribution-NonCommercial 3.0 Unported (https://creativecommons.org/licenses/by-nc/3.0/). 
liv_002347_copyright_information.txt$Livingstone, David, 1813-1873. Letter to Horace Waller, 22 June 1865. Images copyright The Bodleian Library, University of Oxford. Used by permission. As relevant, copyright Dr. Neil Imray Livingstone Wilson. Creative Commons Attribution-NonCommercial 3.0 Unported (https://creativecommons.org/licenses/by-nc/3.0/). 
liv_002352_copyright_information.txt$Livingstone, David, 1813-1873. Letter to Horace Waller, 27 June 1865. Images copyright The Bodleian Library, University of Oxford. Used by permission. As relevant, copyright Dr. Neil Imray Livingstone Wilson. Creative Commons Attribution-NonCommercial 3.0 Unported (https://creativecommons.org/licenses/by-nc/3.0/). 
liv_002361_copyright_information.txt$Livingstone, David, 1813-1873. Letter to Horace Waller, 13 July 1865. Images copyright The Bodleian Library, University of Oxford. Used by permission. As relevant, copyright Dr. Neil Imray Livingstone Wilson. Creative Commons Attribution-NonCommercial 3.0 Unported (https://creativecommons.org/licenses/by-nc/3.0/). 
liv_002367_copyright_information.txt$Livingstone, David, 1813-1873. Letter to Horace Waller, 21 July 1865. Images copyright The Bodleian Library, University of Oxford. Used by permission. As relevant, copyright Dr. Neil Imray Livingstone Wilson. Creative Commons Attribution-NonCommercial 3.0 Unported (https://creativecommons.org/licenses/by-nc/3.0/). 
liv_002366_copyright_information.txt$Livingstone, David, 1813-1873. Letter to Horace Waller, 21 July 1865. Images copyright The Bodleian Library, University of Oxford. Used by permission. As relevant, copyright Dr. Neil Imray Livingstone Wilson. Creative Commons Attribution-NonCommercial 3.0 Unported (https://creativecommons.org/licenses/by-nc/3.0/). 
liv_002373_copyright_information.txt$Livingstone, David, 1813-1873. Letter to Horace Waller, 27 July 1865. Images copyright The Bodleian Library, University of Oxford. Used by permission. As relevant, copyright Dr. Neil Imray Livingstone Wilson. Creative Commons Attribution-NonCommercial 3.0 Unported (https://creativecommons.org/licenses/by-nc/3.0/). 
liv_001903_copyright_information.txt$Livingstone, David, 1813-1873. Letter to Horace Waller, 24 April 1863. Images copyright The Bodleian Library, University of Oxford. Used by permission. As relevant, copyright Dr. Neil Imray Livingstone Wilson. Creative Commons Attribution-NonCommercial 3.0 Unported (https://creativecommons.org/licenses/by-nc/3.0/). 
